strategy,symbol,entry_date,expiration_date,spot_price,short_strike,long_strike,short_call_strike,long_call_strike,credit,max_loss,theoretical_pop,iv_rank,iv_at_entry,exit_price,pnl,won,reason
iron_condor,MDT,2025-11-17,2025-12-31,96.28,90.0,85.0,105.0,110.0,0.7059021441351035,429.4097855864896,0.7148365165401755,0.3471597712330759,0.24791219,96.06,70.59021441351035,True,Expired between short strikes
put_spread,NVDA,2025-11-18,2026-01-02,181.36,165.0,155.0,,,2.214414140330841,778.5585859669159,0.7021069769170978,0.5133453604137874,0.54219382,188.85,221.44141403308407,True,Expired OTM
put_spread,AVGO,2025-11-18,2026-01-02,340.5,310.0,290.0,,,5.046797537730071,1495.3202462269928,0.6734521837586096,0.6666009251439955,0.6097081,347.62,504.67975377300706,True,Expired OTM
put_spread,NEM,2025-11-18,2026-01-02,86.6,80.0,75.0,,,1.01059498625263,398.940501374737,0.7043904782582684,0.5224390928256051,0.4586939,101.22,101.059498625263,True,Expired OTM
put_spread,LW,2025-11-18,2026-01-02,56.18,55.0,50.0,,,1.4114915441103681,358.8508455889632,0.5497087551162432,0.3391040673534327,0.40473645,42.29,-358.8508455889632,False,Expired deep ITM
put_spread,BBY,2025-11-18,2026-01-02,74.4,70.0,65.0,,,1.2818845609093001,371.81154390907,0.637208505932185,0.49530875640681665,0.50261867,69.18,46.1884560909307,True,Expired between strikes
put_spread,NTAP,2025-11-18,2026-01-02,106.4,100.0,95.0,,,1.2833453771441539,371.6654622855846,0.6573784685171675,0.531806618618765,0.45926539,106.47,128.33453771441538,True,Expired OTM
put_spread,DELL,2025-11-18,2026-01-02,122.69,110.0,105.0,,,1.2487971864316512,375.1202813568349,0.6918199803615281,0.5988436615220705,0.64213972,127.8,124.87971864316512,True,Expired OTM
put_spread,CCL,2025-11-18,2026-01-02,25.76,24.0,23.0,,,0.23487761789790887,76.51223821020912,0.6631689447428729,0.3145948316028988,0.5007931,30.92,23.487761789790888,True,Expired OTM
put_spread,DAL,2025-11-18,2026-01-02,57.13,55.0,50.0,,,1.3864330660243338,361.35669339756663,0.581546860580856,0.31455791072010936,0.48202943,69.06,138.64330660243337,True,Expired OTM
